,University,2014 Authors Mean,2014 Authors Log Mean,2014 Authors Std,2014 Authors log Std,2015 Authors Mean,2015 Authors Log Mean,2015 Authors Std,2015 Authors log Std,2016 Authors Mean,2016 Authors Log Mean,2016 Authors Std,2016 Authors log Std,2017 Authors Mean,2017 Authors Log Mean,2017 Authors Std,2017 Authors log Std,2018 Authors Mean,2018 Authors Log Mean,2018 Authors Std,2018 Authors log Std,Authors Mean Change,Authors Mean Acc,Authors Std Change,Authors Std Acc
36,The Hong Kong University of Science and Technology,14.38125,12.677989712410872,9.792134518964692,1.5696149321729163,80.225,80.1983086140542,2.2938777212397294,1.0248078489895796,121.0,121.00000000000132,0.0,1.0000000000000107,92.2125,92.19365411226035,2.013664259503056,1.0196479734080517,113.2125,113.18733214565958,2.6014118762702667,1.0204054478138005,24.707812500000003,-14.947916666666666,-1.7976806606736064,2.695334804830724
37,The London School of Economics and Political Science (LSE),5.04375,4.5506675287560805,3.042094005368669,1.5103823377697108,5.16875,4.694083620861155,3.068431755392323,1.484101913652459,5.3625,4.732803532657937,3.167190197951495,1.5947143278320706,6.80625,6.5733512354343,2.375649582219568,1.2608022361965932,9.39622641509434,9.278037553813082,1.9458676353741493,1.1499099434462594,1.088119103773585,0.8216588050314465,-0.27405659249862996,-0.1520398989563574
38,The University of Melbourne,84.8625,84.84598449147671,1.7302004941624545,1.019601951122091,115.15,115.13090410081723,2.1424285285628533,1.0181846476374776,126.9625,126.89534009562618,4.232150015063263,1.0326739174006685,93.75,93.70915468956103,2.9368350311176825,1.029097118567122,115.95625,115.93568712225299,2.2173939518046875,1.0188700281776073,7.7734375,-2.6937500000000036,0.12179836441055825,-0.3772230379044646
39,KAIST - Korea Advanced Institute of Science & Technology,14.5125,13.8708774840373,4.959822955509595,1.3301315591343827,14.91875,14.127015766940355,5.752142943069129,1.3620465648754636,14.625,13.85156895949104,5.645518133882842,1.3619435325677274,14.68125,13.91965498724849,5.343654969915257,1.3657288240997856,14.34375,13.676946129800056,5.089261826385041,1.3377359586528832,-0.04218749999999982,-0.24791666666666679,0.03235971771886148,-0.3489043770299167
40,"University of California, San Diego (UCSD)",77.3875,77.37206095268587,1.5611994587495845,1.0200771477673782,81.65,81.6346555491554,1.605459435800234,1.019438401606523,103.425,103.42162521010697,0.8407585860400089,1.0080858642408717,122.36875,122.36513392660126,0.9461889015941747,1.0076950878912503,144.15625,144.15579418044183,0.3630921887069453,1.0025159183634018,16.6921875,5.841666666666664,-0.2995268175106598,-0.20911889664595962
41,The University of Sydney,84.6125,84.5921847881807,1.9364513291069378,1.0216810978980781,114.44375,114.42840666570356,1.9292060381151657,1.016271319756741,122.5625,122.54225536788252,2.298606915068342,1.0180559996181653,92.55,92.53810139540332,1.5198684153570685,1.0159740349695983,114.075,114.01308597488446,3.9663427738913217,1.0326020947441674,7.365625000000001,-2.768749999999997,0.5074728611960959,0.8179065498420085
42,New York University (NYU),84.3375,84.32277344669194,1.6236051706002939,1.01858372668057,114.3375,114.33204609329542,1.134060734705161,1.0097400357483377,123.425,123.41361556474024,1.7122718826167826,1.0135304612988423,92.85,92.801467343813,3.1368774282716374,1.0321432810491384,113.36875,113.36519593139677,0.9056894818313829,1.0079146142505655,7.2578125,-3.160416666666663,-0.17947892219222772,-0.5805478368483739
43,Fudan University,18.46875,17.22014401085524,7.88187943561052,1.4246826919977928,19.09375,17.99882668797374,7.453016901731808,1.383327828322912,18.65625,17.798999851547034,6.349258691965543,1.3403659122832945,19.00625,18.058896877818288,7.108530856478013,1.349217920973418,20.20625,19.325103887265854,7.235413667337893,1.317883055751148,0.4343750000000002,0.19166666666666643,-0.16161644206815673,0.18524844824619713
44,The University of New South Wales (UNSW Sydney),18.9125,18.037793863544604,6.710427985605685,1.335773332892367,19.90625,18.90801612598844,7.6866742442684535,1.345232328896112,20.95625,20.003305600417555,7.341957227980831,1.3336528198118327,20.71875,19.986605809445734,6.204002614240261,1.2909486405245252,21.0375,20.330786970200347,6.220819379310096,1.2816929876230931,0.53125,-0.22499999999999906,-0.12240215157389733,-0.31980983119764456
45,Carnegie Mellon University,82.84375,82.47852299948943,7.919554023901851,1.0976711107217696,84.61875,84.43536805135646,5.7237136928308985,1.0672003641865557,105.25625,105.19807172275537,3.5623848665606124,1.033517815949764,121.1125,121.08526912182424,2.7179668412252678,1.0208434516960698,145.38125,145.3475585005585,3.276568088335717,1.0212830911176047,15.634374999999999,7.497916666666664,-1.1607464838915336,0.918147192727134
46,University of British Columbia,87.925,87.80028024885804,4.793941489004639,1.0540827416168637,117.4875,117.41795203812674,4.10180981397237,1.0347571841408323,127.21875,127.18391931161773,2.978405351442278,1.0236726799532814,94.45,94.40933567120197,2.814693589007512,1.029551521506465,117.03125,116.99470995488574,2.9525875833749624,1.0251865553532897,7.276562500000001,-2.3270833333333343,-0.4603384764074191,0.2766752231332397
